DATE,CUSIP
2/11/2019,71647NAZ2
2/11/2019,61745E4K4
2/12/2019,369604BQ5
2/12/2019,36966R7A8
2/12/2019,37045XBU9
2/12/2019,035242AK2
2/12/2019,50077LAP1
2/12/2019,02209SAT0
2/12/2019,38145GAF7
2/12/2019,G07402DP5
2/12/2019,46556MAB8
2/12/2019,P1910WLX5
2/12/2019,P7S16JAU2
2/13/2019,P37110AG1
2/13/2019,172967KS9
2/13/2019,71647NAF6
2/13/2019,71647NAV1
2/13/2019,D57188FH8
2/13/2019,71647NAS8
2/13/2019,G20011AC9
2/13/2019,09709TBE0
2/13/2019,71647NAM1
2/13/2019,91911TAP8
2/14/2019,459745GN9
2/14/2019,37045XBY1
2/14/2019,620076BB4
2/14/2019,11134LAD1
2/14/2019,693476BF9
2/14/2019,30219GAH1
2/14/2019,00507VAL3
2/14/2019,40414LAL3
2/14/2019,35906AAN8
2/14/2019,629568BB1
2/14/2019,345370CR9
2/14/2019,71647NAZ2
2/14/2019,382550BG5
2/15/2019,71645WAS0
2/15/2019,30219GAH1
2/15/2019,59261ANA1
2/15/2019,26138EAR0
2/15/2019,124857AS2
2/15/2019,71647NAF6
2/15/2019,247361ZK7
2/15/2019,63165TWJ0
2/19/2019,91911TAM5
2/19/2019,P04559AL7
2/19/2019,46625HNX4
2/19/2019,71647NAN9
2/19/2019,279158AK5
2/19/2019,G7808UCZ6
2/19/2019,744320BF8
2/19/2019,L21779AA8
2/19/2019,026874DM6
2/19/2019,46625HHL7
2/19/2019,172967KS9
2/19/2019,P989MJBL4
2/19/2019,172967KJ9
2/19/2019,23636BAT6
2/19/2019,71647NAQ2
2/19/2019,91911TAP8
2/19/2019,P1910WNY1
2/19/2019,71654QCK6
2/19/2019,P4949BAN4
2/19/2019,G47661AA4
2/19/2019,G0732RAG3
2/19/2019,71647NAF6
2/19/2019,U24652AP1
2/19/2019,U37405AA2
2/19/2019,05957PAR7
2/19/2019,05971BAB5
2/20/2019,037833AR1
2/20/2019,P90187AE8
2/20/2019,03512TAB7
2/20/2019,71654QCG5
2/20/2019,68607DPS8
2/20/2019,040114GX2
2/20/2019,L00849AA4
2/20/2019,64110LAN6
2/20/2019,71647NAS8
2/21/2019,P8388TAB0
2/21/2019,P7873PAE6
2/21/2019,253651AC7
2/21/2019,P989MJBL4
2/21/2019,71647NAY5
2/21/2019,71647NAF6
2/21/2019,03938LAX2
2/22/2019,G2585XAA7
2/22/2019,P28610AA4
2/22/2019,03027XAA8
2/22/2019,P989MJBG5
2/22/2019,71645WAS0
2/25/2019,369604BQ5
2/25/2019,71654QCD2
2/25/2019,25152RXA6
2/25/2019,88167AAE1
2/25/2019,370334CB8
2/25/2019,46647PAC0
2/25/2019,382550BE0
2/25/2019,P1910WLX5
2/25/2019,P1910WMG1
2/26/2019,U42804AP6
2/26/2019,71647NAY5
2/26/2019,71656MAF6
2/27/2019,U2339CBT4
2/27/2019,L21779AC4
2/27/2019,156700AM8
2/27/2019,05971KAA7
2/27/2019,P30179AM0
2/27/2019,253651AC7
2/27/2019,40414LAL3
2/27/2019,N8370TAA4
2/27/2019,P989MJBE0
2/27/2019,71647NAN9
2/27/2019,P989MJBN0
2/27/2019,64110DAE4
2/28/2019,P0R66CAA6
2/28/2019,P1047VAF4
2/28/2019,N9353VAC4
2/28/2019,46556MAJ1
2/28/2019,P0607LAB9
2/28/2019,69783UAA9
2/28/2019,P989MJBN0
2/28/2019,P5880UAB6
3/1/2019,71647NAM1
3/1/2019,91911TAP8
3/1/2019,58013MEQ3
3/1/2019,P98088AA8
3/1/2019,91911TAM5
3/1/2019,P16259AB2
3/1/2019,345525AE9
3/1/2019,105756BK5
3/1/2019,P4949BAN4
3/1/2019,68375NAD5
3/1/2019,P989MJBN0
3/4/2019,71647NAM1
3/4/2019,68375NAD5
3/4/2019,25152RXA6
3/4/2019,71654QBG6
3/4/2019,345370CR9
3/5/2019,P8585LAC6
3/5/2019,P3579EBK2
3/5/2019,761713BT2
3/5/2019,P14996AG0
3/5/2019,P12445AA3
3/5/2019,L4441RAA4
3/5/2019,P9423FBL2
3/5/2019,G5825AAA0
3/5/2019,L5800PAB8
3/5/2019,09709TBE0
3/5/2019,G2119WAE6
3/5/2019,P0605NAA9
3/6/2019,02154VAA9
3/6/2019,G2119WAE6
3/6/2019,345397XF5
3/6/2019,247361ZK7
3/6/2019,P04559AL7
3/6/2019,P1910WLX5
3/6/2019,P989MJBN0
3/6/2019,71647NAY5
3/6/2019,172967GT2
3/6/2019,88167AAD3
3/7/2019,P3772WAF9
3/7/2019,G2585XAA7
3/7/2019,74432QBG9
3/7/2019,717081EV1
3/7/2019,958102AM7
3/7/2019,L21779AC4
3/7/2019,457153AF1
3/7/2019,91911TAH6
3/7/2019,457153AG9
3/7/2019,71647NAY5
